"filename","funcname",line number,column number,frequency count,"comment"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,8,0,"i = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,15,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,15,0,"goto g-23"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",67,4,0,"sum += a[i]*b[i]"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,22,0,"i++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,15,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",66,15,0,"goto g1"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_dotproductonassert",68,3,0,"return sum"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",72,1,0,"PARALLEL ASSIGNMENTS: sum = sum, in1 = in1, in2 = in2, N = N"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",73,2,0,"printf("Dentro de sin desenrrollar")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",75,2,0,"N = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,7,0,"i = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,14,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,14,0,"goto g-28"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",79,3,0,"sum[i] = _add2(in1[i], in2[i])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",80,3,0,"printf("%d", i)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,21,0,"i++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,14,0,"( i >= N ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",77,14,0,"goto g1"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumSinDesenrrollar",82,1,0,"return"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",85,1,0,"PARALLEL ASSIGNMENTS: sum = sum, in1 = in1, in2 = in2, N = N"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",86,2,0,"printf("Dentro de desenrrollado")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",87,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",88,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",89,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",90,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",91,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",92,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",93,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",94,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",95,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",96,2,0,"sum[0] = _add2(in1[0], in2[0])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/utils.c","_vecsumDesenrrollado",98,1,0,"return"
