"filename","funcname",line number,column number,frequency count,"comment"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",74,2,46,"goto g-19#46"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",78,3,46,"printf("\nNo se puede abrir fichero: musica4.csv")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",79,3,46,"printf("\nUsando valores por defecto")"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",81,3,46,"nv = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",82,3,46,"v_datos = &v_datos_default[0]"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",83,2,46,"goto g12#46"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",89,3,25,"nv = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,25,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,0,"goto g14#0"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,25,"( nv >=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,25,"goto g-21#25"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",92,4,80520,"fscanf(fich_num, "%f", &borradorFloat)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",93,4,80520,"nv++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",94,4,80520,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",94,4,2,"goto g15#2"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",95,5,80518,"fscanf(fich_num, "%c", &borradorCaracter)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,80520,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,2,"goto g-27#2"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,80518,"( nv >=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",90,10,80495,"goto g13#80495"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",99,3,25,"v_datos = malloc(nv*)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",100,3,25,"fseek(fich_num, , )"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",102,3,25,"nv = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,25,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,0,"goto g17#0"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,25,"( nv >=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,25,"goto g-31#25"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",105,4,80520,"fscanf(fich_num, "%f", v_datos+nv*4)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",106,4,80520,"nv++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",107,4,80520,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",107,4,2,"goto g18#2"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",108,5,80518,"fscanf(fich_num, "%c", &borradorCaracter)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,80520,"( feof(fich_num) ==  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,2,"goto g-37#2"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,80518,"( nv >=  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",103,10,80495,"goto g16#80495"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",112,3,25,"fclose(fich_num)"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,12,71,"tmp = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,21,71,"( tmp >= nv ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,21,71,"goto g-41#71"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",117,7,80678,"printf("\nValor %d: %lf", tmp, v_datos[tmp])"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,31,80678,"tmp++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,21,80678,"( tmp >= nv ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",116,21,80607,"goto g19#80607"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_obtenerValores",120,1,71,"return"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,9,7,"indiceValor = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,26,7,"( indiceValor >= nv ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,26,56197,"goto g-46#56197"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",128,4,1259090,"salida = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,12,1259090,"indiceCoeficiente = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,33,1259090,"( indiceCoeficiente >= nc ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,33,1254374,"goto g-48#1254374"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",133,9,1969202,"tmp = indiceValor-indiceCoeficiente"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",134,8,1969202,"( tmp <  ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",134,8,537421,"goto g-51#537421"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",134,8,537725,"( tmp >= nv ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",134,8,537573,"goto g-50#537573"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",137,9,537573,"valorEntrada = v_datos[tmp]"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",137,9,537573,"goto g6#537573"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",139,9,2277,"valorEntrada = "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",141,8,889806,"salida = salida+v_coef[indiceCoeficiente]*valorEntrada"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,56,889806,"indiceCoeficiente++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,33,889806,"( indiceCoeficiente >= nc ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",131,33,714828,"goto g3#714828"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,44,2226092,"indiceValor++"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,26,2226092,"( indiceValor >= nv ) "
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",126,26,1202893,"goto g1#1202893"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_filtro_fir",148,1,1023199,"return"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_main",152,1,249,"obtenerValores()"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_main",154,1,249,"filtro_fir()"
"C:\git\ARQAVANZADA\ComposeStudioFiltroFir\basico_main/Ejemplo_comienzo.c","_main",157,1,249,"return"
